Day	Session Name	Poster group number	Paper ID	Track	Session start time	Day and time	Type
3	Virtual Poster Q&A Session 4	13	320	Question Answering	9:15	Wed 9:15	main
3	Virtual Poster Q&A Session 4	13	528	Question Answering	9:15	Wed 9:15	main
3	Virtual Poster Q&A Session 4	13	741	Question Answering	9:15	Wed 9:15	main
3	Virtual Poster Q&A Session 4	13	43	Question Answering	9:15	Wed 9:15	main
3	Virtual Poster Q&A Session 4	13	624	Question Answering	9:15	Wed 9:15	findings
3	Virtual Poster Q&A Session 4	13	362	Question Answering	9:15	Wed 9:15	main
3	Virtual Poster Q&A Session 4	13	72	Question Answering	9:15	Wed 9:15	findings
3	Virtual Poster Q&A Session 4	13	212	Question Answering	9:15	Wed 9:15	main
3	Virtual Poster Q&A Session 4	13	761	Question Answering	9:15	Wed 9:15	main
3	Virtual Poster Q&A Session 4	13	806	Question Answering	9:15	Wed 9:15	main
3	Virtual Poster Q&A Session 4	13	222	Question Answering	9:15	Wed 9:15	main
3	Virtual Poster Q&A Session 4	14	487	Semantics: Sentence-level Semantics and Textual Inference	9:15	Wed 9:15	main
3	Virtual Poster Q&A Session 4	14	953	Semantics: Sentence-level Semantics and Textual Inference	9:15	Wed 9:15	main
3	Virtual Poster Q&A Session 4	13	564	Summarization	9:15	Wed 9:15	findings
3	Virtual Poster Q&A Session 4	13	223	Summarization	9:15	Wed 9:15	findings
3	Virtual Poster Q&A Session 4	13	422	Summarization	9:15	Wed 9:15	main
3	Virtual Poster Q&A Session 4	13	467	Summarization	9:15	Wed 9:15	findings
3	Virtual Poster Q&A Session 4	13	367	Summarization	9:15	Wed 9:15	findings
3	Virtual Poster Q&A Session 4	13	90-srw	Summarization	9:15	Wed 9:15	srw
							
							
				findings	72		
				main	151		
				srw	20		
